id,nama_kabupaten, longitude, latitude
1,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577
2,KABUPATEN SUKABUMI,-6.926426999999995,106.836548
3,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999
4,KABUPATEN BEKASI,-6.263427999999985,107.04666100000001
5,KABUPATEN BOGOR,-6.562295999999995,106.72805799999999
6,KABUPATEN CIREBON,-6.730075999999996,108.536682
7,KOTA BANDUNG,-6.942785999999987,107.586365
8,KOTA SUKABUMI,-6.920974000000011,106.92993200000001
9,KOTA BOGOR,-6.599130999999995,106.79260300000003
10,KABUPATEN GARUT,-7.253495999999989,107.902222
11,KOTA BEKASI,-6.244315999999986,107.00134300000002
12,KABUPATEN TASIKMALAYA,-7.2889139999999975,108.20159900000002
13,KOTA TASIKMALAYA,-7.351571000000017,108.242798
14,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572
15,KABUPATEN INDRAMAYU,-6.380812000000002,108.35266100000001
16,KABUPATEN CIAMIS,-7.32705400000002,108.37738000000003
17,KABUPATEN SUMEDANG,-6.856212999999993,107.92419399999997
18,KOTA CIMAHI,-6.8787100000000185,107.55203200000001
19,KOTA CIREBON,-6.719846999999982,108.567581
20,KABUPATEN SUBANG,-6.560931999999996,107.75390599999997
21,KABUPATEN PURWAKARTA,-6.55888499999998,107.44972199999998
22,KABUPATEN KARAWANG,-6.271618000000003,107.30896000000001
23,KOTA DEPOK,-6.3890009999999915,106.806335
24,KOTA BANJAR,-7.365190999999991,108.544235
