id,country,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,longitude,latitude,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
114,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,NUSANTARA,5583468,ORANG,2016
167,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,MANCANEGARA,578321,ORANG,2017
168,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,NUSANTARA,3385860,ORANG,2017
113,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,MANCANEGARA,867000,ORANG,2016
248,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,MANCANEGARA,4506,ORANG,2019
60,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,NUSANTARA,5583468,ORANG,2015
59,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,MANCANEGARA,62101,ORANG,2015
303,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,NUSANTARA,1270937,ORANG,2020
249,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,NUSANTARA,2485755,ORANG,2019
8,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,NUSANTARA,5583468,ORANG,2014
7,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,MANCANEGARA,62101,ORANG,2014
218,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,NUSANTARA,1900000,ORANG,2018
302,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,MANCANEGARA,3089,ORANG,2020
275,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,NUSANTARA,5339819,ORANG,2019
274,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,MANCANEGARA,100339,ORANG,2019
329,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,NUSANTARA,3440529,ORANG,2020
231,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,NUSANTARA,13701916,ORANG,2018
328,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,MANCANEGARA,23431,ORANG,2020
33,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,MANCANEGARA,278027,ORANG,2014
86,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,NUSANTARA,1278179,ORANG,2015
140,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,NUSANTARA,1289657,ORANG,2016
139,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,MANCANEGARA,278027,ORANG,2016
194,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,NUSANTARA,1405920,ORANG,2017
34,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,NUSANTARA,1278179,ORANG,2014
193,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,MANCANEGARA,480531,ORANG,2017
85,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,MANCANEGARA,278027,ORANG,2015
